PACKAGE_NAME,OCCUPIED_MEMORY
linux-modules-extra-5.4.0-26-generic,185508
google-chrome-stable,228519
libgl1-mesa-dri,266577
libgl1-mesa-dri,285797
linux-firmware,523340
,
